Chip,Kbytes,Data EEPROM,RAM,I/O,ADC Channels,Max. Speed MHz,ADC,GPR,PINS,USART,ChipFamilyOverride,ChipSubFamily,Packages
ATmega88PA,8,512,1,23,8,20,1,32,-1,1,,,"MLF (VQFN) 28M1 28,MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32,UFBGA 32CC1 32 (6x6)"
ATmega8A,8,512,1,23,8,16,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega8U2,8,512,0.5,22,0,16,255,32,-1,1,,,"TQFP 32A 32,VQFN (Sawn) PN 32"
ATtiny102,1,0,0.03,6,5,12,255,16,8,1,121,,"MLF (WQFN) 8M1 14,SOIC (150mil) 8S1 8, UDFN / USON 8MA4 8"
ATtiny104,1,0,0.03,12,8,12,255,16,14,1,121,,"MLF (WQFN) 20M1 14,SOIC (150mil) 14S1 14"
ATtiny10,1,0,0.03,4,4,12,255,16,6,0,121,,"SOT23 6ST1 6,UDFN / USON 8MA4 6,SOIC (150mil) 14S1 8"
ATtiny13,1,64,0.06,6,4,20,0,32,-1,0,,,"MLF (VDFN) 10M1 10,MLF (WQFN) 20M1 20,PDIP 8P3 8,SOIC (150mil) 8S1 8,SOIC (208mil) 8S2 8"
ATtiny13A,1,64,0.06,6,4,20,0,32,-1,0,,,"MLF (VDFN) 10M1 10,MLF (WQFN) 20M1 20,PDIP 8P3 8,SOIC (150mil) 8S1 8,SOIC (208mil) 8S2 8"
ATtiny1634,16,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny167,16,512,0.5,16,11,16,0,32,-1,0,,,"SOIC TG 20,TSSOP 6G 20,VQFN (Sawn) PN 32"
ATtiny20,2,0,0.12,12,8,12,0,16,14,0,121,,"SOIC (150mil) 14S1 14,VQFN 20M2 20, SOIC (150mil) 14S1 14"
ATtiny2313,2,128,0.12,18,0,20,255,32,-1,1,,,"MLF (WQFN) 20M1 20,PDIP 20P3 20,SOIC (300mil) 20S 20"
ATtiny2313A,2,128,0.12,18,0,20,255,32,-1,1,,,"MLF (WQFN) 20M1 20,PDIP 20P3 20,SOIC (300mil) 20S 20,VQFN 20M2 20"
ATtiny24,2,128,0.12,12,8,20,0,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 14P3 14,SOIC (150mil) 14S1 14,SOIC 14S1 14"
