Chip,SubChipFamily,KWords,Data EEPROM,HEFWords,SAFWords,ProgMemRowSizeWords,RAM,I/O,ADC Channels,Max. Speed MHz,Int Oscillator (MHz),Parallel Port,USART,Pin Count,PWMTimerVariant,FixedConstants,SMTClockSourceVariant,ConfigBaseLoc,IntOSCCONFormat,READAD10BITFORCE,Stack,IDAddress,IDLength,NoBankRAM,31kSupport,SectorRAMAddress,SectorRAMAddressSize,WriteFlashBlockSize,EraseFlashBlockSize,,
PIC16C57C,,2,,0,0,,72,20,0,40,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C58A,,2,,0,0,,73,12,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C58B,,2,0,0,0,,73,12,0,40,0,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C61,,1,,0,0,,36,13,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C620,,0.5,,0,0,,80,13,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C620A,,0.5,0,0,0,,96,13,0,40,0,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C621,,1,,0,0,,80,13,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C621A,,1,0,0,0,,96,13,0,40,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C622,,2,,0,0,,128,13,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C622A,,2,0,0,0,,128,13,0,40,0,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C62A,,2,,0,0,,128,22,0,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C62B,,2,0,0,0,,128,22,0,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C63,,4,,0,0,,192,22,0,20,,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C63A,,4,0,0,0,,192,22,0,20,0,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C642,,4,,0,0,,176,22,0,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C64A,,2,,0,0,,128,33,0,20,,No,0,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C65A,,4,,0,0,,192,33,0,20,,No,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C65B,,4,0,0,0,,192,33,0,20,0,PSP,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C66,,8,,0,0,,368,22,0,20,,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C662,,4,,0,0,,176,33,0,20,,No,0,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C67,,8,,0,0,,368,33,0,20,,No,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C71,,1,,0,0,,36,13,4,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C710,,0.5,,0,0,,36,13,4,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C711,,1,,0,0,,68,13,4,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C712,,1,,0,0,,128,13,4,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C715,,2,,0,0,,128,13,4,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C716,,2,,0,0,,128,13,4,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C717,,2,0,0,0,,256,16,6,20,4,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C72,,2,,0,0,,128,22,5,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C72A,,2,,0,0,,128,22,5,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C73A,,4,,0,0,,192,22,5,20,,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C73B,,4,,0,0,,192,22,5,20,,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C745,,8,0,0,0,,256,22,5,24,0,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C74A,,4,,0,0,,192,33,8,20,,No,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
